empi,split
DUMMY0000,test
DUMMY0001,train
DUMMY0002,test
DUMMY0003,train
DUMMY0004,val
DUMMY0005,train
DUMMY0006,train
DUMMY0007,train
DUMMY0008,train
DUMMY0009,train
DUMMY0010,train
DUMMY0011,train
DUMMY0012,val
DUMMY0013,train
DUMMY0014,train
DUMMY0015,train
DUMMY0016,train
DUMMY0017,train
DUMMY0018,train
DUMMY0019,val
DUMMY0020,train
DUMMY0021,train
DUMMY0022,train
DUMMY0023,train
DUMMY0024,train
DUMMY0025,val
DUMMY0026,test
DUMMY0027,train
DUMMY0028,train
DUMMY0029,train
DUMMY0030,val
DUMMY0031,train
DUMMY0032,train
DUMMY0033,train
DUMMY0034,test
DUMMY0035,test
DUMMY0036,test
DUMMY0037,train
DUMMY0038,test
DUMMY0039,train
DUMMY0040,train
DUMMY0041,train
DUMMY0042,train
DUMMY0043,test
DUMMY0044,test
DUMMY0045,train
DUMMY0046,val
DUMMY0047,train
DUMMY0048,train
DUMMY0049,train
DUMMY0050,train
DUMMY0051,train
DUMMY0052,test
DUMMY0053,train
DUMMY0054,test
DUMMY0055,test
DUMMY0056,train
DUMMY0057,train
DUMMY0058,train
DUMMY0059,train
DUMMY0060,train
DUMMY0061,val
DUMMY0062,train
DUMMY0063,val
DUMMY0064,train
DUMMY0065,train
DUMMY0066,val
DUMMY0067,val
DUMMY0068,train
DUMMY0069,train
DUMMY0070,train
DUMMY0071,test
DUMMY0072,val
DUMMY0073,train
DUMMY0074,train
DUMMY0075,train
DUMMY0076,train
DUMMY0077,test
DUMMY0078,train
DUMMY0079,val
DUMMY0080,test
DUMMY0081,train
DUMMY0082,test
DUMMY0083,train
DUMMY0084,test
DUMMY0085,val
DUMMY0086,test
DUMMY0087,train
DUMMY0088,train
DUMMY0089,train
DUMMY0090,val
DUMMY0091,test
DUMMY0092,train
DUMMY0093,train
DUMMY0094,train
DUMMY0095,train
DUMMY0096,train
DUMMY0097,train
DUMMY0098,train
DUMMY0099,test
